ID,Kategorie,Abschnitt,Bezeichnung,Stufe/Klasse,Meilenstein (Vorschlag),Status,Blockiert durch
G-duration_expr,Grammatik,2.3,duration_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-pattern,Grammatik,2.3,pattern,,M0 (Parser/MIR-Entwurf),fertig,
G-unit_lit,Grammatik,2.3,unit_lit,,M0 (Parser/MIR-Entwurf),fertig,
G-unit_expr,Grammatik,2.3,unit_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-unit_term,Grammatik,2.3,unit_term,,M0 (Parser/MIR-Entwurf),fertig,
G-type,Grammatik,2.3,type,v1.1,M0 (Parser) / M6,fertig,
G-scalar_type,Grammatik,2.3,scalar_type,v1.1,M0 (Parser) / M6,fertig,
G-int_type,Grammatik,2.3,int_type,,M0 (Parser/MIR-Entwurf),fertig,
G-unit_tuple,Grammatik,2.3,unit_tuple,,M0 (Parser/MIR-Entwurf),fertig,
G-elem_type,Grammatik,2.3,elem_type,v1.2,M0 (Parser) / M8,fertig,
G-range,Grammatik,2.3,range,,M0 (Parser/MIR-Entwurf),fertig,
G-const_expr,Grammatik,2.3,const_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-pattern_text,Grammatik,2.3,pattern_text,,M0 (Parser/MIR-Entwurf),fertig,
G-pattern_kind,Grammatik,2.3,pattern_kind,,M0 (Parser/MIR-Entwurf),fertig,
G-format_text,Grammatik,2.3,format_text,,M0 (Parser/MIR-Entwurf),fertig,
G-format_spec,Grammatik,2.3,format_spec,,M0 (Parser/MIR-Entwurf),fertig,
G-address_text,Grammatik,2.3,address_text,,M0 (Parser/MIR-Entwurf),fertig,
G-address_segment,Grammatik,2.3,address_segment,,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-tick,system-Eintrag,2.3,"system_item: ""tick""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-output_timing,system-Eintrag,2.3,"system_item: ""output_timing""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-asap,system-Eintrag,2.3,"system_item: ""asap""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-boundary,system-Eintrag,2.3,"system_item: ""boundary""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-fault_is_fail,system-Eintrag,2.3,"system_item: ""fault_is_fail""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-true,system-Eintrag,2.3,"system_item: ""true""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-false,system-Eintrag,2.3,"system_item: ""false""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-tick_source,system-Eintrag,2.3,"system_item: ""tick_source""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-hw,system-Eintrag,2.3,"system_item: ""hw""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-tick_tolerance,system-Eintrag,2.3,"system_item: ""tick_tolerance""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-for,system-Eintrag,2.3,"system_item: ""for""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-ticks,system-Eintrag,2.3,"system_item: ""ticks""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-target,system-Eintrag,2.3,"system_item: ""target""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-float,system-Eintrag,2.3,"system_item: ""float""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-f32,system-Eintrag,2.3,"system_item: ""f32""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-f64,system-Eintrag,2.3,"system_item: ""f64""",,M0 (Parser/MIR-Entwurf),fertig,
system-Eintrag-language,system-Eintrag,2.3,"system_item: ""language""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-safe,Channel-Attribut,2.3,"attr: ""safe""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-max_age,Channel-Attribut,2.3,"attr: ""max_age""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-rate,Channel-Attribut,2.3,"attr: ""rate""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-max_rate,Channel-Attribut,2.3,"attr: ""max_rate""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-capacity,Channel-Attribut,2.3,"attr: ""capacity""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-framing,Channel-Attribut,2.3,"attr: ""framing""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-overflow,Channel-Attribut,2.3,"attr: ""overflow""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-fault,Channel-Attribut,2.3,"attr: ""fault""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-drop_oldest,Channel-Attribut,2.3,"attr: ""drop_oldest""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-drop,Channel-Attribut,2.3,"attr: ""drop""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-wake,Channel-Attribut,2.3,"attr: ""wake""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-true,Channel-Attribut,2.3,"attr: ""true""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-false,Channel-Attribut,2.3,"attr: ""false""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-jitter,Channel-Attribut,2.3,"attr: ""jitter""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-max_slew,Channel-Attribut,2.3,"attr: ""max_slew""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-debounce,Channel-Attribut,2.3,"attr: ""debounce""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-capacity_bytes,Channel-Attribut,2.3,"attr: ""capacity_bytes""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-expect_len,Channel-Attribut,2.3,"attr: ""expect_len""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-irreversible,Channel-Attribut,2.3,"attr: ""irreversible""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-label,Channel-Attribut,2.3,"attr: ""label""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-display,Channel-Attribut,2.3,"attr: ""display""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-group,Channel-Attribut,2.3,"attr: ""group""",,M0 (Parser/MIR-Entwurf),fertig,
Channel-Attribut-doc,Channel-Attribut,2.3,"attr: ""doc""",,M0 (Parser/MIR-Entwurf),fertig,
Skalartyp-bool,Skalartyp,2.3,"scalar_type: ""bool""",,M0 (Parser/MIR-Entwurf),fertig,
Skalartyp-float,Skalartyp,2.3,"scalar_type: ""float""",,M0 (Parser/MIR-Entwurf),fertig,
Skalartyp-f32,Skalartyp,2.3,"scalar_type: ""f32""",,M0 (Parser/MIR-Entwurf),fertig,
Skalartyp-f64,Skalartyp,2.3,"scalar_type: ""f64""",,M0 (Parser/MIR-Entwurf),fertig,
Skalartyp-str,Skalartyp,2.3,"scalar_type: ""str""",,M0 (Parser/MIR-Entwurf),fertig,
Typkonstruktor-bytes,Typkonstruktor,2.3,"type: ""bytes""",,M0 (Parser/MIR-Entwurf),fertig,
Typkonstruktor-vec,Typkonstruktor,2.3,"type: ""vec""",,M0 (Parser/MIR-Entwurf),fertig,
Typkonstruktor-line,Typkonstruktor,2.3,"type: ""line""",,M0 (Parser/MIR-Entwurf),fertig,
Typkonstruktor-stream,Typkonstruktor,2.3,"type: ""stream""",,M0 (Parser/MIR-Entwurf),fertig,
Typkonstruktor-samples,Typkonstruktor,2.3,"type: ""samples""",,M0 (Parser/MIR-Entwurf),fertig,
Typkonstruktor-table,Typkonstruktor,2.3,"type: ""table""",,M0 (Parser/MIR-Entwurf),fertig,
Typkonstruktor-mat,Typkonstruktor,2.3,"type: ""mat""",,M0 (Parser/MIR-Entwurf),fertig,
Typkonstruktor-map,Typkonstruktor,2.3,"type: ""map""",,M0 (Parser/MIR-Entwurf),fertig,
Stream-Elementtyp-u8,Stream-Elementtyp,2.3,"elem_type: ""u8""",,M0 (Parser/MIR-Entwurf),fertig,
Stream-Elementtyp-bytes,Stream-Elementtyp,2.3,"elem_type: ""bytes""",,M0 (Parser/MIR-Entwurf),fertig,
Stream-Elementtyp-line,Stream-Elementtyp,2.3,"elem_type: ""line""",,M0 (Parser/MIR-Entwurf),fertig,
Stream-Elementtyp-capture,Stream-Elementtyp,2.3,"elem_type: ""capture""",,M0 (Parser/MIR-Entwurf),fertig,
Statement-break,Statement,2.3,"simple_stmt: ""break""",,M0 (Parser/MIR-Entwurf),fertig,
Statement-pass,Statement,2.3,"simple_stmt: ""pass""",,M0 (Parser/MIR-Entwurf),fertig,
Sequenz-Item-wait,Sequenz-Item,2.3,"seq_item: ""wait""",,M0 (Parser/MIR-Entwurf),fertig,
Sequenz-Item-until,Sequenz-Item,2.3,"seq_item: ""until""",,M0 (Parser/MIR-Entwurf),fertig,
Sequenz-Item-timeout,Sequenz-Item,2.3,"seq_item: ""timeout""",,M0 (Parser/MIR-Entwurf),fertig,
Sequenz-Item-else,Sequenz-Item,2.3,"seq_item: ""else""",,M0 (Parser/MIR-Entwurf),fertig,
Sequenz-Item-expect,Sequenz-Item,2.3,"seq_item: ""expect""",,M0 (Parser/MIR-Entwurf),fertig,
Sequenz-Item-repeat,Sequenz-Item,2.3,"seq_item: ""repeat""",,M0 (Parser/MIR-Entwurf),fertig,
Sequenz-Item-step,Sequenz-Item,2.3,"seq_item: ""step""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-implies,Temporaloperator,2.3,"tprop: ""implies""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-or,Temporaloperator,2.3,"tprop: ""or""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-and,Temporaloperator,2.3,"tprop: ""and""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-not,Temporaloperator,2.3,"tprop: ""not""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-always,Temporaloperator,2.3,"tprop: ""always""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-never,Temporaloperator,2.3,"tprop: ""never""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-eventually,Temporaloperator,2.3,"tprop: ""eventually""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-stable,Temporaloperator,2.3,"tprop: ""stable""",,M0 (Parser/MIR-Entwurf),fertig,
Temporaloperator-once,Temporaloperator,2.3,"tprop: ""once""",,M0 (Parser/MIR-Entwurf),fertig,
Generics-Fähigkeit-pod,Generics-Fähigkeit,2.3,"capability: ""pod""",,M0 (Parser/MIR-Entwurf),fertig,
Generics-Fähigkeit-eq,Generics-Fähigkeit,2.3,"capability: ""eq""",,M0 (Parser/MIR-Entwurf),fertig,
Generics-Fähigkeit-ord,Generics-Fähigkeit,2.3,"capability: ""ord""",,M0 (Parser/MIR-Entwurf),fertig,
Generics-Fähigkeit-numeric,Generics-Fähigkeit,2.3,"capability: ""numeric""",,M0 (Parser/MIR-Entwurf),fertig,
Generics-Fähigkeit-integer,Generics-Fähigkeit,2.3,"capability: ""integer""",,M0 (Parser/MIR-Entwurf),fertig,
Generics-Fähigkeit-float,Generics-Fähigkeit,2.3,"capability: ""float""",,M0 (Parser/MIR-Entwurf),fertig,
Rahmung-raw,Rahmung,2.3,"framing: ""raw""",,M0 (Parser/MIR-Entwurf),fertig,
Rahmung-lines,Rahmung,2.3,"framing: ""lines""",,M0 (Parser/MIR-Entwurf),fertig,
Rahmung-cobs,Rahmung,2.3,"framing: ""cobs""",,M0 (Parser/MIR-Entwurf),fertig,
Rahmung-length_prefixed,Rahmung,2.3,"framing: ""length_prefixed""",,M0 (Parser/MIR-Entwurf),fertig,
Rahmung-fixed,Rahmung,2.3,"framing: ""fixed""",,M0 (Parser/MIR-Entwurf),fertig,
Bindung-hw,Bindung,2.3,"binding: ""hw""",,M0 (Parser/MIR-Entwurf),fertig,
Bindung-sim,Bindung,2.3,"binding: ""sim""",,M0 (Parser/MIR-Entwurf),fertig,
Bindung-none,Bindung,2.3,"binding: ""none""",,M0 (Parser/MIR-Entwurf),fertig,
Kampagnen-Item-program,Kampagnen-Item,2.3,"campaign_item: ""program""",,M0 (Parser/MIR-Entwurf),fertig,
Kampagnen-Item-profile,Kampagnen-Item,2.3,"campaign_item: ""profile""",,M0 (Parser/MIR-Entwurf),fertig,
Kampagnen-Item-sweep,Kampagnen-Item,2.3,"campaign_item: ""sweep""",,M0 (Parser/MIR-Entwurf),fertig,
Kampagnen-Item-step,Kampagnen-Item,2.3,"campaign_item: ""step""",,M0 (Parser/MIR-Entwurf),fertig,
Kampagnen-Item-repeat,Kampagnen-Item,2.3,"campaign_item: ""repeat""",,M0 (Parser/MIR-Entwurf),fertig,
Kampagnen-Item-stop_on,Kampagnen-Item,2.3,"campaign_item: ""stop_on""",,M0 (Parser/MIR-Entwurf),fertig,
Kampagnen-Item-fail,Kampagnen-Item,2.3,"campaign_item: ""fail""",,M0 (Parser/MIR-Entwurf),fertig,
Kampagnen-Item-never,Kampagnen-Item,2.3,"campaign_item: ""never""",,M0 (Parser/MIR-Entwurf),fertig,
Generics-Klasse-type,Generics-Klasse,2.3,"gvar: ""type""",,M0 (Parser/MIR-Entwurf),fertig,
Generics-Klasse-const,Generics-Klasse,2.3,"gvar: ""const""",,M0 (Parser/MIR-Entwurf),fertig,
KW-system,Schlüsselwort,2.2,system,,M0 (Parser/MIR-Entwurf),fertig,
KW-import,Schlüsselwort,2.2,import,,M0 (Parser/MIR-Entwurf),fertig,
KW-type,Schlüsselwort,2.2,type,,M0 (Parser/MIR-Entwurf),fertig,
KW-enum,Schlüsselwort,2.2,enum,,M0 (Parser/MIR-Entwurf),fertig,
KW-record,Schlüsselwort,2.2,record,,M0 (Parser/MIR-Entwurf),fertig,
KW-unit,Schlüsselwort,2.2,unit,,M0 (Parser/MIR-Entwurf),fertig,
KW-const,Schlüsselwort,2.2,const,,M0 (Parser/MIR-Entwurf),fertig,
KW-param,Schlüsselwort,2.2,param,,M0 (Parser/MIR-Entwurf),fertig,
KW-profile,Schlüsselwort,2.2,profile,,M0 (Parser/MIR-Entwurf),fertig,
KW-stream,Schlüsselwort,2.2,stream,,M0 (Parser/MIR-Entwurf),fertig,
KW-port,Schlüsselwort,2.2,port,,M0 (Parser/MIR-Entwurf),fertig,
KW-node,Schlüsselwort,2.2,node,,M0 (Parser/MIR-Entwurf),fertig,
KW-unitvec,Schlüsselwort,2.2,unitvec,,M0 (Parser/MIR-Entwurf),fertig,
KW-property,Schlüsselwort,2.2,property,,M0 (Parser/MIR-Entwurf),fertig,
KW-assumption,Schlüsselwort,2.2,assumption,,M0 (Parser/MIR-Entwurf),fertig,
KW-input,Schlüsselwort,2.2,input,,M0 (Parser/MIR-Entwurf),fertig,
KW-output,Schlüsselwort,2.2,output,,M0 (Parser/MIR-Entwurf),fertig,
KW-command,Schlüsselwort,2.2,command,,M0 (Parser/MIR-Entwurf),fertig,
KW-fn,Schlüsselwort,2.2,fn,,M0 (Parser/MIR-Entwurf),fertig,
KW-native,Schlüsselwort,2.2,native,,M0 (Parser/MIR-Entwurf),fertig,
KW-block,Schlüsselwort,2.2,block,,M0 (Parser/MIR-Entwurf),fertig,
KW-machine,Schlüsselwort,2.2,machine,,M0 (Parser/MIR-Entwurf),fertig,
KW-instance,Schlüsselwort,2.2,instance,,M0 (Parser/MIR-Entwurf),fertig,
KW-scenario,Schlüsselwort,2.2,scenario,,M0 (Parser/MIR-Entwurf),fertig,
KW-campaign,Schlüsselwort,2.2,campaign,,M0 (Parser/MIR-Entwurf),fertig,
KW-trigger,Schlüsselwort,2.2,trigger,,M0 (Parser/MIR-Entwurf),fertig,
KW-var,Schlüsselwort,2.2,var,,M0 (Parser/MIR-Entwurf),fertig,
KW-pub,Schlüsselwort,2.2,pub,,M0 (Parser/MIR-Entwurf),fertig,
KW-persist,Schlüsselwort,2.2,persist,,M0 (Parser/MIR-Entwurf),fertig,
KW-signal,Schlüsselwort,2.2,signal,,M0 (Parser/MIR-Entwurf),fertig,
KW-tunable,Schlüsselwort,2.2,tunable,,M0 (Parser/MIR-Entwurf),fertig,
KW-driver,Schlüsselwort,2.2,driver,,M0 (Parser/MIR-Entwurf),fertig,
KW-initial,Schlüsselwort,2.2,initial,,M0 (Parser/MIR-Entwurf),fertig,
KW-state,Schlüsselwort,2.2,state,,M0 (Parser/MIR-Entwurf),fertig,
KW-enter,Schlüsselwort,2.2,enter,,M0 (Parser/MIR-Entwurf),fertig,
KW-loop,Schlüsselwort,2.2,loop,,M0 (Parser/MIR-Entwurf),fertig,
KW-exit,Schlüsselwort,2.2,exit,,M0 (Parser/MIR-Entwurf),fertig,
KW-on,Schlüsselwort,2.2,on,,M0 (Parser/MIR-Entwurf),fertig,
KW-when,Schlüsselwort,2.2,when,,M0 (Parser/MIR-Entwurf),fertig,
KW-after,Schlüsselwort,2.2,after,,M0 (Parser/MIR-Entwurf),fertig,
KW-fault,Schlüsselwort,2.2,fault,,M0 (Parser/MIR-Entwurf),fertig,
KW-sequence,Schlüsselwort,2.2,sequence,,M0 (Parser/MIR-Entwurf),fertig,
KW-wait,Schlüsselwort,2.2,wait,,M0 (Parser/MIR-Entwurf),fertig,
KW-until,Schlüsselwort,2.2,until,,M0 (Parser/MIR-Entwurf),fertig,
KW-expect,Schlüsselwort,2.2,expect,,M0 (Parser/MIR-Entwurf),fertig,
KW-repeat,Schlüsselwort,2.2,repeat,,M0 (Parser/MIR-Entwurf),fertig,
KW-step,Schlüsselwort,2.2,step,,M0 (Parser/MIR-Entwurf),fertig,
KW-every,Schlüsselwort,2.2,every,,M0 (Parser/MIR-Entwurf),fertig,
KW-check,Schlüsselwort,2.2,check,,M0 (Parser/MIR-Entwurf),fertig,
KW-alert,Schlüsselwort,2.2,alert,,M0 (Parser/MIR-Entwurf),fertig,
KW-log,Schlüsselwort,2.2,log,,M0 (Parser/MIR-Entwurf),fertig,
KW-abort,Schlüsselwort,2.2,abort,,M0 (Parser/MIR-Entwurf),fertig,
KW-measure,Schlüsselwort,2.2,measure,,M0 (Parser/MIR-Entwurf),fertig,
KW-verify,Schlüsselwort,2.2,verify,,M0 (Parser/MIR-Entwurf),fertig,
KW-verdict,Schlüsselwort,2.2,verdict,,M0 (Parser/MIR-Entwurf),fertig,
KW-send,Schlüsselwort,2.2,send,,M0 (Parser/MIR-Entwurf),fertig,
KW-at,Schlüsselwort,2.2,at,,M0 (Parser/MIR-Entwurf),fertig,
KW-pulse,Schlüsselwort,2.2,pulse,,M0 (Parser/MIR-Entwurf),fertig,
KW-cancel,Schlüsselwort,2.2,cancel,,M0 (Parser/MIR-Entwurf),fertig,
KW-raise,Schlüsselwort,2.2,raise,,M0 (Parser/MIR-Entwurf),fertig,
KW-job,Schlüsselwort,2.2,job,,M0 (Parser/MIR-Entwurf),fertig,
KW-arm,Schlüsselwort,2.2,arm,,M0 (Parser/MIR-Entwurf),fertig,
KW-disarm,Schlüsselwort,2.2,disarm,,M0 (Parser/MIR-Entwurf),fertig,
KW-then,Schlüsselwort,2.2,then,,M0 (Parser/MIR-Entwurf),fertig,
KW-bound,Schlüsselwort,2.2,bound,,M0 (Parser/MIR-Entwurf),fertig,
KW-program,Schlüsselwort,2.2,program,,M0 (Parser/MIR-Entwurf),fertig,
KW-sweep,Schlüsselwort,2.2,sweep,,M0 (Parser/MIR-Entwurf),fertig,
KW-stop_on,Schlüsselwort,2.2,stop_on,,M0 (Parser/MIR-Entwurf),fertig,
KW-match,Schlüsselwort,2.2,match,,M0 (Parser/MIR-Entwurf),fertig,
KW-case,Schlüsselwort,2.2,case,,M0 (Parser/MIR-Entwurf),fertig,
KW-if,Schlüsselwort,2.2,if,,M0 (Parser/MIR-Entwurf),fertig,
KW-elif,Schlüsselwort,2.2,elif,,M0 (Parser/MIR-Entwurf),fertig,
KW-else,Schlüsselwort,2.2,else,,M0 (Parser/MIR-Entwurf),fertig,
KW-for,Schlüsselwort,2.2,for,,M0 (Parser/MIR-Entwurf),fertig,
KW-in,Schlüsselwort,2.2,in,,M0 (Parser/MIR-Entwurf),fertig,
KW-range,Schlüsselwort,2.2,range,,M0 (Parser/MIR-Entwurf),fertig,
KW-break,Schlüsselwort,2.2,break,,M0 (Parser/MIR-Entwurf),fertig,
KW-return,Schlüsselwort,2.2,return,,M0 (Parser/MIR-Entwurf),fertig,
KW-pass,Schlüsselwort,2.2,pass,,M0 (Parser/MIR-Entwurf),fertig,
KW-and,Schlüsselwort,2.2,and,,M0 (Parser/MIR-Entwurf),fertig,
KW-or,Schlüsselwort,2.2,or,,M0 (Parser/MIR-Entwurf),fertig,
KW-not,Schlüsselwort,2.2,not,,M0 (Parser/MIR-Entwurf),fertig,
KW-as,Schlüsselwort,2.2,as,,M0 (Parser/MIR-Entwurf),fertig,
KW-matches,Schlüsselwort,2.2,matches,,M0 (Parser/MIR-Entwurf),fertig,
KW-has,Schlüsselwort,2.2,has,,M0 (Parser/MIR-Entwurf),fertig,
KW-implies,Schlüsselwort,2.2,implies,,M0 (Parser/MIR-Entwurf),fertig,
KW-always,Schlüsselwort,2.2,always,,M0 (Parser/MIR-Entwurf),fertig,
KW-never,Schlüsselwort,2.2,never,,M0 (Parser/MIR-Entwurf),fertig,
KW-eventually,Schlüsselwort,2.2,eventually,,M0 (Parser/MIR-Entwurf),fertig,
KW-stable,Schlüsselwort,2.2,stable,,M0 (Parser/MIR-Entwurf),fertig,
KW-once,Schlüsselwort,2.2,once,,M0 (Parser/MIR-Entwurf),fertig,
KW-true,Schlüsselwort,2.2,true,,M0 (Parser/MIR-Entwurf),fertig,
KW-false,Schlüsselwort,2.2,false,,M0 (Parser/MIR-Entwurf),fertig,
KW-none,Schlüsselwort,2.2,none,,M0 (Parser/MIR-Entwurf),fertig,
KW-default,Schlüsselwort,2.2,default,,M0 (Parser/MIR-Entwurf),fertig,
KW-with,Schlüsselwort,2.2,with,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-region,Reserviertes Wort,2.2/2.5,region,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-while,Reserviertes Wort,2.2/2.5,while,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-yield,Reserviertes Wort,2.2/2.5,yield,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-await,Reserviertes Wort,2.2/2.5,await,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-async,Reserviertes Wort,2.2/2.5,async,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-spawn,Reserviertes Wort,2.2/2.5,spawn,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-select,Reserviertes Wort,2.2/2.5,select,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-where,Reserviertes Wort,2.2/2.5,where,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-impl,Reserviertes Wort,2.2/2.5,impl,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-trait,Reserviertes Wort,2.2/2.5,trait,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-module,Reserviertes Wort,2.2/2.5,module,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-export,Reserviertes Wort,2.2/2.5,export,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-extern,Reserviertes Wort,2.2/2.5,extern,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-unsafe,Reserviertes Wort,2.2/2.5,unsafe,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-try,Reserviertes Wort,2.2/2.5,try,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-catch,Reserviertes Wort,2.2/2.5,catch,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-throw,Reserviertes Wort,2.2/2.5,throw,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-class,Reserviertes Wort,2.2/2.5,class,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-struct,Reserviertes Wort,2.2/2.5,struct,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-union,Reserviertes Wort,2.2/2.5,union,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-static,Reserviertes Wort,2.2/2.5,static,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-global,Reserviertes Wort,2.2/2.5,global,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-volatile,Reserviertes Wort,2.2/2.5,volatile,,M0 (Parser/MIR-Entwurf),fertig,
KW-reserviert-defer,Reserviertes Wort,2.2/2.5,defer,,M0 (Parser/MIR-Entwurf),fertig,
MEM-valid,Reservierter Membername,2.5,valid,,M0 (Parser/MIR-Entwurf),fertig,
MEM-suspect,Reservierter Membername,2.5,suspect,,M0 (Parser/MIR-Entwurf),fertig,
MEM-stale,Reservierter Membername,2.5,stale,,M0 (Parser/MIR-Entwurf),fertig,
MEM-age,Reservierter Membername,2.5,age,,M0 (Parser/MIR-Entwurf),fertig,
MEM-reason,Reservierter Membername,2.5,reason,,M0 (Parser/MIR-Entwurf),fertig,
MEM-or,Reservierter Membername,2.5,or,,M0 (Parser/MIR-Entwurf),fertig,
MEM-ok,Reservierter Membername,2.5,ok,,M0 (Parser/MIR-Entwurf),fertig,
MEM-err,Reservierter Membername,2.5,err,,M0 (Parser/MIR-Entwurf),fertig,
MEM-t,Reservierter Membername,2.5,t,,M0 (Parser/MIR-Entwurf),fertig,
MEM-seq,Reservierter Membername,2.5,seq,,M0 (Parser/MIR-Entwurf),fertig,
MEM-text,Reservierter Membername,2.5,text,,M0 (Parser/MIR-Entwurf),fertig,
MEM-data,Reservierter Membername,2.5,data,,M0 (Parser/MIR-Entwurf),fertig,
MEM-len,Reservierter Membername,2.5,len,,M0 (Parser/MIR-Entwurf),fertig,
MEM-count,Reservierter Membername,2.5,count,,M0 (Parser/MIR-Entwurf),fertig,
MEM-dropped,Reservierter Membername,2.5,dropped,,M0 (Parser/MIR-Entwurf),fertig,
MEM-malformed,Reservierter Membername,2.5,malformed,,M0 (Parser/MIR-Entwurf),fertig,
MEM-overflowed,Reservierter Membername,2.5,overflowed,,M0 (Parser/MIR-Entwurf),fertig,
MEM-free,Reservierter Membername,2.5,free,,M0 (Parser/MIR-Entwurf),fertig,
MEM-jitter,Reservierter Membername,2.5,jitter,,M0 (Parser/MIR-Entwurf),definiert,
MEM-time_warped,Reservierter Membername,2.5,time_warped,,M0 (Parser/MIR-Entwurf),definiert,
MEM-done,Reservierter Membername,2.5,done,,M0 (Parser/MIR-Entwurf),definiert,
MEM-result,Reservierter Membername,2.5,result,,M0 (Parser/MIR-Entwurf),definiert,
MEM-state,Reservierter Membername,2.5,state,,M0 (Parser/MIR-Entwurf),fertig,
MEM-to,Reservierter Membername,2.5,to,,M0 (Parser/MIR-Entwurf),fertig,
MEM-to_float,Reservierter Membername,2.5,to_float,,M0 (Parser/MIR-Entwurf),fertig,
MEM-as,Reservierter Membername,2.5,as,,M0 (Parser/MIR-Entwurf),fertig,
MEM-bit,Reservierter Membername,2.5,bit,,M0 (Parser/MIR-Entwurf),fertig,
MEM-bits,Reservierter Membername,2.5,bits,,M0 (Parser/MIR-Entwurf),fertig,
MEM-with_bit,Reservierter Membername,2.5,with_bit,,M0 (Parser/MIR-Entwurf),fertig,
MEM-wrap_*,Reservierter Membername,2.5,wrap_*,,M0 (Parser/MIR-Entwurf),fertig,
MEM-min,Reservierter Membername,2.5,min,,M0 (Parser/MIR-Entwurf),fertig,
MEM-max,Reservierter Membername,2.5,max,,M0 (Parser/MIR-Entwurf),fertig,
MEM-mean,Reservierter Membername,2.5,mean,,M0 (Parser/MIR-Entwurf),fertig,
